gameId,playId,specialTeamsPlayType,specialTeamsResult,nflId,yardlineSide,yardlineNumber,kickLength,absoluteYardlineNumber,x,y,s,event,displayName,position,team,playDirection
2020091302,2883,Field Goal,Kick Attempt No Good,52596.0,NYJ,20,38.0,90,81.67,27.86,2.37,field_goal_attempt,Tyler Bass,K,home,right
2020091302,3196,Field Goal,Kick Attempt No Good,52596.0,NYJ,16,34.0,94,85.72,27.08,2.53,field_goal_attempt,Tyler Bass,K,home,right
2020091302,4130,Field Goal,Kick Attempt Good,52596.0,NYJ,1,19.0,11,19.09,25.93,2.42,field_goal_attempt,Tyler Bass,K,home,left
2020091400,337,Field Goal,Kick Attempt Good,35102.0,PIT,2,21.0,12,21.48,28.99,2.44,field_goal_attempt,Graham Gano,K,home,left
2020092000,1858,Field Goal,Kick Attempt No Good,35102.0,CHI,39,57.0,71,62.47,30.72,2.33,field_goal_attempt,Graham Gano,K,away,right
2020092000,2172,Field Goal,Kick Attempt Good,35102.0,CHI,21,39.0,31,39.03,22.64,2.06,field_goal_attempt,Graham Gano,K,away,left
2020092000,3336,Field Goal,Kick Attempt Good,35102.0,CHI,19,37.0,91,82.48,30.61,2.13,field_goal_attempt,Graham Gano,K,away,right
2020092004,1697,Field Goal,Kick Attempt Good,52596.0,MIA,21,39.0,31,39.53,29.12,2.8,field_goal_attempt,Tyler Bass,K,away,left
2020092004,2156,Field Goal,Kick Attempt Good,46298.0,BUF,34,52.0,76,67.64,30.88,3.38,field_goal_attempt,Jason Sanders,K,home,right
2020092004,2508,Field Goal,Kick Attempt Good,46298.0,BUF,27,45.0,83,74.31,24.7,3.24,field_goal_attempt,Jason Sanders,K,home,right
2020092100,2226,Field Goal,Kick Attempt Good,46236.0,NO,9,28.0,101,91.3,24.69,2.75,field_goal_attempt,Daniel Carlson,K,home,right
2020092100,4100,Field Goal,Kick Attempt Good,46236.0,NO,36,54.0,74,65.32,30.97,2.92,field_goal_attempt,Daniel Carlson,K,home,right
2020092400,3700,Field Goal,Kick Attempt Good,46298.0,JAX,13,30.0,23,31.28,27.07,3.38,field_goal_attempt,Jason Sanders,K,away,left
2020092704,902,Field Goal,Kick Attempt Good,46236.0,NE,11,29.0,99,90.51,30.87,3.4,field_goal_attempt,Daniel Carlson,K,away,right
2020092704,2569,Field Goal,Kick Attempt No Good,46236.0,NE,22,41.0,88,78.41,30.87,3.29,field_goal_attempt,Daniel Carlson,K,away,right
2020092704,3287,Field Goal,Kick Attempt Good,46236.0,NE,7,25.0,17,25.6,22.57,3.16,field_goal_attempt,Daniel Carlson,K,away,left
2020092705,935,Field Goal,Kick Attempt Good,35102.0,SF,34,52.0,44,53.02,26.34,2.59,field_goal_attempt,Graham Gano,K,home,left
2020092705,1356,Field Goal,Kick Attempt Good,35102.0,SF,24,42.0,34,43.13,28.73,2.57,field_goal_attempt,Graham Gano,K,home,left
2020092705,2433,Field Goal,Kick Attempt Good,35102.0,SF,29,47.0,81,71.91,27.21,2.65,field_goal_attempt,Graham Gano,K,home,right
2020100406,800,Field Goal,Kick Attempt Good,46298.0,SEA,23,41.0,33,41.88,22.48,3.33,field_goal_attempt,Jason Sanders,K,home,left
2020100406,1224,Field Goal,Kick Attempt Good,46298.0,SEA,11,29.0,99,89.67,24.99,3.61,field_goal_attempt,Jason Sanders,K,home,right
2020100406,1865,Field Goal,Kick Attempt Good,46298.0,SEA,27,45.0,83,74.33,31.09,3.29,field_goal_attempt,Jason Sanders,K,home,right
2020100406,2678,Field Goal,Kick Attempt Good,46298.0,SEA,25,43.0,35,43.86,28.79,3.34,field_goal_attempt,Jason Sanders,K,home,left
2020100406,3255,Field Goal,Kick Attempt Good,46298.0,SEA,11,29.0,99,90.25,31.16,3.43,field_goal_attempt,Jason Sanders,K,home,right
2020100410,822,Field Goal,Kick Attempt Good,35102.0,LA,17,35.0,93,84.24,24.56,2.49,field_goal_attempt,Graham Gano,K,away,right
2020100410,1764,Field Goal,Kick Attempt Good,35102.0,LA,19,37.0,91,82.3,24.55,2.39,field_goal_attempt,Graham Gano,K,away,right
2020100410,2680,Field Goal,Kick Attempt Good,35102.0,LA,9,27.0,19,27.38,28.77,2.26,field_goal_attempt,Graham Gano,K,away,left
2020100412,564,Field Goal,Kick Attempt Good,46236.0,BUF,36,54.0,46,53.82,26.32,2.93,field_goal_attempt,Daniel Carlson,K,home,left
2020100412,1237,Field Goal,Kick Attempt Good,46236.0,BUF,21,39.0,89,80.27,24.76,3.12,field_goal_attempt,Daniel Carlson,K,home,right
2020100412,1535,Field Goal,Kick Attempt Good,52596.0,LV,16,34.0,26,34.25,22.77,2.64,field_goal_attempt,Tyler Bass,K,away,left
2020100412,2215,Field Goal,Kick Attempt Good,46236.0,BUF,7,25.0,17,25.24,29.1,2.94,field_goal_attempt,Daniel Carlson,K,home,left
2020101103,527,Field Goal,Kick Attempt Good,46236.0,KC,20,38.0,90,81.84,24.88,3.0,field_goal_attempt,Daniel Carlson,K,away,right
2020101103,3690,Field Goal,Kick Attempt Good,46236.0,KC,25,43.0,35,43.1,22.99,3.08,field_goal_attempt,Daniel Carlson,K,away,left
2020101109,2007,Field Goal,Kick Attempt Good,46298.0,SF,32,50.0,78,69.21,30.83,3.32,field_goal_attempt,Jason Sanders,K,away,right
2020101109,2206,Field Goal,Kick Attempt Good,46298.0,SF,11,29.0,99,90.12,24.58,3.07,field_goal_attempt,Jason Sanders,K,away,right
2020101109,3608,Field Goal,Kick Attempt Good,46298.0,SF,13,31.0,97,88.08,24.6,3.15,field_goal_attempt,Jason Sanders,K,away,right
2020101109,3800,Field Goal,Kick Attempt Good,46298.0,SF,31,49.0,79,70.22,27.01,3.25,field_goal_attempt,Jason Sanders,K,away,right
