gameId_x,playId,specialTeamsPlayType,specialTeamsResult,nflId_x,yardlineSide,yardlineNumber,kickLength,absoluteYardlineNumber,Unnamed: 25,x_x,y_x,s_x,event_x,displayName_x,position_x,team_x,playDirection_x,time,x_y,y_y,s_y,a,dis,event_y,displayName_y,team_y,frameId,gameId_y,playDirection_y
2020091000,3852,Field Goal,Kick Attempt Good,45046.0,HOU,1,19.0,109,,100.65,24.77,2.6,field_goal_attempt,Harrison Butker,K,home,right,2020-09-11T03:18:08.400,125.67,26.42,17.83,9.34,1.83,field_goal,football,football,35.0,2020091000.0,right
2020091302,4130,Field Goal,Kick Attempt Good,52596.0,NYJ,1,19.0,11,,19.09,25.93,2.42,field_goal_attempt,Tyler Bass,K,home,left,2020-09-13T19:53:42.200,-3.86,28.48,15.71,15.96,1.31,field_goal,football,football,34.0,2020091302.0,left
2020091312,1475,Field Goal,Kick Attempt Good,52656.0,DAL,17,35.0,27,,35.43,28.84,2.41,field_goal_attempt,Sam Sloman,K,home,left,2020-09-14T01:12:33.100,1.75,26.85,19.75,11.28,2.22,field_goal,football,football,39.0,2020091312.0,left
2020091312,1873,Field Goal,Kick Attempt Good,52656.0,DAL,13,31.0,23,,31.39,28.86,2.61,field_goal_attempt,Sam Sloman,K,home,left,2020-09-14T01:30:35.900,-3.33,26.5,14.83,13.23,1.55,field_goal,football,football,41.0,2020091312.0,left
2020091312,3249,Field Goal,Kick Attempt Good,38701.0,LA,15,33.0,25,,33.2,25.57,2.94,field_goal_attempt,Greg Zuerlein,K,away,left,2020-09-14T02:32:51.000,-4.8,29.75,11.9,12.94,1.15,field_goal,football,football,43.0,2020091312.0,left
2020091400,337,Field Goal,Kick Attempt Good,35102.0,PIT,2,21.0,12,,21.48,28.99,2.44,field_goal_attempt,Graham Gano,K,home,left,2020-09-14T23:19:06.300,-7.36,27.03,11.37,18.2,1.23,field_goal,football,football,38.0,2020091400.0,left
2020092000,2172,Field Goal,Kick Attempt Good,35102.0,CHI,21,39.0,31,,39.03,22.64,2.06,field_goal_attempt,Graham Gano,K,away,left,2020-09-20T18:44:28.600,-8.36,29.51,11.89,6.87,1.22,field_goal,football,football,48.0,2020092000.0,left
2020092000,3336,Field Goal,Kick Attempt Good,35102.0,CHI,19,37.0,91,,82.48,30.61,2.13,field_goal_attempt,Graham Gano,K,away,right,2020-09-20T19:32:29.400,120.93,26.02,13.94,4.18,1.41,field_goal,football,football,45.0,2020092000.0,right
2020092001,2316,Field Goal,Kick Attempt Good,38701.0,ATL,15,33.0,95,,85.5,24.97,3.6,field_goal_attempt,Greg Zuerlein,K,home,right,2020-09-20T18:30:58.100,122.28,26.88,17.0,6.99,1.7,field_goal,football,football,43.0,2020092001.0,right
2020092001,5135,Field Goal,Kick Attempt Good,38701.0,ATL,28,46.0,38,,47.34,28.4,3.38,field_goal_attempt,Greg Zuerlein,K,home,left,2020-09-20T20:35:24.700,-5.45,25.88,16.01,4.84,1.63,field_goal,football,football,51.0,2020092001.0,left
2020092004,1697,Field Goal,Kick Attempt Good,52596.0,MIA,21,39.0,31,,39.53,29.12,2.8,field_goal_attempt,Tyler Bass,K,away,left,2020-09-20T18:16:14.000,-17.46,29.28,8.35,6.63,0.85,field_goal,football,football,55.0,2020092004.0,left
2020092006,2928,Field Goal,Kick Attempt Good,52656.0,PHI,12,30.0,98,,89.15,24.7,2.56,field_goal_attempt,Sam Sloman,K,away,right,2020-09-20T19:11:35.700,115.99,26.71,24.56,7.25,2.15,field_goal,football,football,37.0,2020092006.0,right
2020092010,2990,Field Goal,Kick Attempt Good,40125.0,ARI,6,24.0,104,,94.96,24.89,2.93,field_goal_attempt,Dustin Hopkins,K,away,right,2020-09-20T22:16:48.500,124.73,26.64,18.75,8.56,1.99,field_goal,football,football,38.0,2020092010.0,right
2020092012,2950,Field Goal,Kick Attempt Good,45046.0,LAC,40,58.0,70,,61.28,31.06,2.9,field_goal_attempt,Harrison Butker,K,away,right,2020-09-20T22:29:15.700,116.54,25.37,13.85,4.42,1.41,field_goal,football,football,51.0,2020092012.0,right
2020092012,4258,Field Goal,Kick Attempt Good,45046.0,LAC,12,30.0,22,,30.64,22.29,3.23,field_goal_attempt,Harrison Butker,K,away,left,2020-09-20T23:22:50.500,-7.88,27.18,5.55,14.68,0.63,field_goal,football,football,45.0,2020092012.0,left
2020092100,2226,Field Goal,Kick Attempt Good,46236.0,NO,9,28.0,101,,91.3,24.69,2.75,field_goal_attempt,Daniel Carlson,K,home,right,2020-09-22T01:47:40.200,129.87,25.21,15.96,6.79,1.63,field_goal,football,football,44.0,2020092100.0,right
2020092100,4100,Field Goal,Kick Attempt Good,46236.0,NO,36,54.0,74,,65.32,30.97,2.92,field_goal_attempt,Daniel Carlson,K,home,right,2020-09-22T03:25:48.300,126.87,24.66,1.27,5.13,0.1,field_goal,football,football,65.0,2020092100.0,right
2020092400,3700,Field Goal,Kick Attempt Good,46298.0,JAX,13,30.0,23,,31.28,27.07,3.38,field_goal_attempt,Jason Sanders,K,away,left,2020-09-25T03:12:19.900,-9.99,26.39,3.32,0.53,0.46,field_goal,football,football,48.0,2020092400.0,left
2020092704,902,Field Goal,Kick Attempt Good,46236.0,NE,11,29.0,99,,90.51,30.87,3.4,field_goal_attempt,Daniel Carlson,K,away,right,2020-09-27T17:36:59.400,126.69,26.23,9.64,15.54,0.76,field_goal,football,football,45.0,2020092704.0,right
2020092704,3287,Field Goal,Kick Attempt Good,46236.0,NE,7,25.0,17,,25.6,22.57,3.16,field_goal_attempt,Daniel Carlson,K,away,left,2020-09-27T19:35:30.100,-8.51,25.86,9.06,11.61,0.97,field_goal,football,football,43.0,2020092704.0,left
2020092705,935,Field Goal,Kick Attempt Good,35102.0,SF,34,52.0,44,,53.02,26.34,2.59,field_goal_attempt,Graham Gano,K,home,left,2020-09-27T17:41:17.400,2.88,27.3,16.32,4.84,1.66,field_goal,football,football,51.0,2020092705.0,left
2020092705,1356,Field Goal,Kick Attempt Good,35102.0,SF,24,42.0,34,,43.13,28.73,2.57,field_goal_attempt,Graham Gano,K,home,left,2020-09-27T17:58:27.600,-0.85,25.96,16.49,5.22,1.68,field_goal,football,football,49.0,2020092705.0,left
2020092705,2433,Field Goal,Kick Attempt Good,35102.0,SF,29,47.0,81,,71.91,27.21,2.65,field_goal_attempt,Graham Gano,K,home,right,2020-09-27T18:56:41.900,123.31,26.15,11.1,11.95,1.22,field_goal,football,football,55.0,2020092705.0,right
2020092712,456,Field Goal,Kick Attempt Good,38701.0,SEA,25,43.0,85,,76.37,29.29,2.89,field_goal_attempt,Greg Zuerlein,K,away,right,2020-09-27T20:37:43.500,127.82,30.01,12.15,7.79,1.25,field_goal,football,football,49.0,2020092712.0,right
2020092712,4412,Field Goal,Kick Attempt Good,38701.0,SEA,24,42.0,34,,42.01,28.78,2.61,field_goal_attempt,Greg Zuerlein,K,away,left,2020-09-27T23:30:49.400,-8.03,26.22,4.01,0.81,0.4,field_goal,football,football,60.0,2020092712.0,left
2020100406,800,Field Goal,Kick Attempt Good,46298.0,SEA,23,41.0,33,,41.88,22.48,3.33,field_goal_attempt,Jason Sanders,K,home,left,2020-10-04T17:34:31.400,1.6,24.85,17.63,5.71,1.86,field_goal,football,football,43.0,2020100406.0,left
2020100406,1224,Field Goal,Kick Attempt Good,46298.0,SEA,11,29.0,99,,89.67,24.99,3.61,field_goal_attempt,Jason Sanders,K,home,right,2020-10-04T17:52:37.500,129.4,26.4,13.37,8.72,1.38,field_goal,football,football,44.0,2020100406.0,right
2020100406,1865,Field Goal,Kick Attempt Good,46298.0,SEA,27,45.0,83,,74.33,31.09,3.29,field_goal_attempt,Jason Sanders,K,home,right,2020-10-04T18:21:27.300,126.43,26.96,6.08,15.55,0.66,field_goal,football,football,53.0,2020100406.0,right
2020100406,2678,Field Goal,Kick Attempt Good,46298.0,SEA,25,43.0,35,,43.86,28.79,3.34,field_goal_attempt,Jason Sanders,K,home,left,2020-10-04T19:05:55.500,1.77,25.0,18.1,5.77,1.87,field_goal,football,football,45.0,2020100406.0,left
2020100406,3255,Field Goal,Kick Attempt Good,46298.0,SEA,11,29.0,99,,90.25,31.16,3.43,field_goal_attempt,Jason Sanders,K,home,right,2020-10-04T19:31:29.800,124.55,25.94,18.11,8.22,1.85,field_goal,football,football,41.0,2020100406.0,right
2020100409,2078,Field Goal,Kick Attempt Good,40125.0,BAL,25,43.0,35,,43.28,28.9,2.57,field_goal_attempt,Dustin Hopkins,K,home,left,2020-10-04T18:26:04.400,-3.9,26.05,12.8,5.33,1.29,field_goal,football,football,49.0,2020100409.0,left
2020100410,1390,Field Goal,Kick Attempt Good,52656.0,NYG,14,32.0,24,,32.52,28.91,2.4,field_goal_attempt,Sam Sloman,K,home,left,2020-10-04T20:59:45.600,-3.59,25.38,14.32,13.67,1.35,field_goal,football,football,41.0,2020100410.0,left
2020100410,1764,Field Goal,Kick Attempt Good,35102.0,LA,19,37.0,91,,82.3,24.55,2.39,field_goal_attempt,Graham Gano,K,away,right,2020-10-04T21:14:55.700,116.77,28.66,17.66,6.75,1.81,field_goal,football,football,41.0,2020100410.0,right
2020100410,2680,Field Goal,Kick Attempt Good,35102.0,LA,9,27.0,19,,27.38,28.77,2.26,field_goal_attempt,Graham Gano,K,away,left,2020-10-04T22:06:57.500,-2.16,27.85,15.6,17.61,1.65,field_goal,football,football,40.0,2020100410.0,left
2020100412,564,Field Goal,Kick Attempt Good,46236.0,BUF,36,54.0,46,,53.82,26.32,2.93,field_goal_attempt,Daniel Carlson,K,home,left,2020-10-04T20:47:15.700,-3.84,24.99,12.2,5.61,1.12,field_goal,football,football,54.0,2020100412.0,left
2020100412,1237,Field Goal,Kick Attempt Good,46236.0,BUF,21,39.0,89,,80.27,24.76,3.12,field_goal_attempt,Daniel Carlson,K,home,right,2020-10-04T21:19:57.200,127.03,26.88,13.61,5.68,1.39,field_goal,football,football,46.0,2020100412.0,right
2020100412,1535,Field Goal,Kick Attempt Good,52596.0,LV,16,34.0,26,,34.25,22.77,2.64,field_goal_attempt,Tyler Bass,K,away,left,2020-10-04T21:32:54.800,-4.95,25.87,18.02,7.08,1.83,field_goal,football,football,40.0,2020100412.0,left
2020100412,2215,Field Goal,Kick Attempt Good,46236.0,BUF,7,25.0,17,,25.24,29.1,2.94,field_goal_attempt,Daniel Carlson,K,home,left,2020-10-04T22:12:16.800,-7.8,22.77,15.68,8.23,1.61,field_goal,football,football,40.0,2020100412.0,left
